RMSD=1010.5468322821497, candidate=276
RMSD=1010.7133271042267, candidate=233
RMSD=1011.0491174502351, candidate=208
RMSD=1011.4411913615648, candidate=134
RMSD=1011.5175515280415, candidate=193
RMSD=1011.5544842674378, candidate=289
RMSD=1011.6038683248819, candidate=122
RMSD=1011.7170982079521, candidate=172
RMSD=1011.7525808121284, candidate=201
RMSD=1011.8823548461116, candidate=187
RMSD=1011.9084611955961, candidate=157
RMSD=1011.9741445365851, candidate=47
RMSD=1012.5373145787618, candidate=39
RMSD=1012.6377850193497, candidate=78
RMSD=1012.7429483650575, candidate=46
RMSD=1012.7562170636622, candidate=69
RMSD=1012.7781306777719, candidate=256
RMSD=1013.0574747076761, candidate=90
RMSD=1013.1079933967346, candidate=166
RMSD=1013.1596037793378, candidate=136
RMSD=1013.3505325208989, candidate=146
RMSD=1013.5010366571264, candidate=174
RMSD=1013.6405286734093, candidate=76
RMSD=1013.7563578686893, candidate=205
RMSD=1013.8790498794774, candidate=203
RMSD=1013.9420300770471, candidate=123
RMSD=1014.2921186655573, candidate=221
RMSD=1014.3486714427062, candidate=92
RMSD=1014.3679152199428, candidate=274
RMSD=1014.9214558074266, candidate=112
RMSD=1015.0205818404435, candidate=241
RMSD=1015.2083750947896, candidate=278
RMSD=1015.2997281696214, candidate=109
RMSD=1015.4394507668288, candidate=48
RMSD=1015.6167375044787, candidate=179
RMSD=1015.6373723606267, candidate=259
RMSD=1015.792311073603, candidate=85
RMSD=1015.7987946763822, candidate=77
RMSD=1016.0022091162765, candidate=83
RMSD=1016.229747855262, candidate=42
RMSD=1016.2544341848718, candidate=152
RMSD=1016.4904985087744, candidate=147
RMSD=1016.544219858277, candidate=184
RMSD=1016.6940788088715, candidate=91
RMSD=1016.9008899511288, candidate=284
RMSD=1017.1034734835127, candidate=55
RMSD=1017.1711113318572, candidate=271
RMSD=1017.2578546118673, candidate=108
RMSD=1017.4612770175213, candidate=71
RMSD=1017.5168964704075, candidate=106
RMSD=1018.4991048880012, candidate=21
RMSD=1018.8809889095303, candidate=231
RMSD=1019.062110519605, candidate=99
RMSD=1019.3878764062911, candidate=80
RMSD=1019.8611751694236, candidate=214
RMSD=1019.9161677833431, candidate=291
RMSD=1020.0700450166273, candidate=73
RMSD=1020.2741332674453, candidate=167
RMSD=1020.7260283795054, candidate=258
RMSD=1021.1438159083177, candidate=177
RMSD=1021.2142835468247, candidate=164
RMSD=1022.2281578255244, candidate=220
RMSD=1022.3572183722199, candidate=45
RMSD=1022.4943891450202, candidate=74
RMSD=1022.8924014563056, candidate=173
RMSD=1023.372014262693, candidate=111
RMSD=1023.6606760434272, candidate=110
RMSD=1023.7166268684718, candidate=186
RMSD=1024.4925727098798, candidate=279
RMSD=1024.7689764541274, candidate=175
RMSD=1024.9606368084505, candidate=222
RMSD=1024.9657653121171, candidate=160
RMSD=1025.5835110670155, candidate=207
RMSD=1025.705089811554, candidate=181
RMSD=1025.7128549097665, candidate=156
RMSD=1025.7711517463079, candidate=49
RMSD=1025.8852799594488, candidate=84
RMSD=1025.9169474624393, candidate=176
RMSD=1025.9791621022969, candidate=36
RMSD=1026.0493722269357, candidate=143
RMSD=1026.1607515157757, candidate=298
RMSD=1027.1268573008922, candidate=63
RMSD=1027.4772772792528, candidate=237
RMSD=1028.2215998038755, candidate=266
RMSD=1028.4721887494595, candidate=290
RMSD=1028.6168943644661, candidate=198
RMSD=1028.632067468571, candidate=265
RMSD=1029.5328490950308, candidate=192
RMSD=1029.5549086486417, candidate=124
RMSD=1029.7327461991506, candidate=283
RMSD=1030.259499460753, candidate=144
RMSD=1030.7008735331297, candidate=253
RMSD=1031.2926833062938, candidate=88
RMSD=1031.4253834433096, candidate=285
RMSD=1031.6072968632793, candidate=245
RMSD=1031.7942086343946, candidate=296
RMSD=1031.9001541679033, candidate=61
RMSD=1032.1034620147009, candidate=168
RMSD=1032.3728562901395, candidate=81
RMSD=1033.6871570768744, candidate=102
